Mie Scattering and Absorption for 50Au_50Ag 40nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000173 0.001765
280.00 0.000151 0.001660
290.00 0.000131 0.001565
300.00 0.000114 0.001481
310.00 0.000099 0.001409
320.00 0.000087 0.001350
330.00 0.000077 0.001306
340.00 0.000068 0.001277
350.00 0.000061 0.001264
360.00 0.000056 0.001268
370.00 0.000052 0.001288
380.00 0.000050 0.001326
390.00 0.000049 0.001383
400.00 0.000050 0.001465
410.00 0.000054 0.001581
420.00 0.000062 0.001720
430.00 0.000073 0.001808
440.00 0.000081 0.001729
450.00 0.000081 0.001458
460.00 0.000074 0.001118
470.00 0.000063 0.000822
480.00 0.000053 0.000604
490.00 0.000045 0.000452
500.00 0.000038 0.000345
510.00 0.000032 0.000270
520.00 0.000028 0.000216
530.00 0.000024 0.000177
540.00 0.000021 0.000147
550.00 0.000019 0.000124
560.00 0.000017 0.000106
570.00 0.000015 0.000092
580.00 0.000014 0.000080
590.00 0.000012 0.000071
600.00 0.000011 0.000063
610.00 0.000010 0.000057
620.00 0.000009 0.000052
630.00 0.000009 0.000047
640.00 0.000008 0.000043
650.00 0.000007 0.000039
660.00 0.000007 0.000036
670.00 0.000006 0.000034
680.00 0.000006 0.000032
690.00 0.000005 0.000029
700.00 0.000005 0.000028
710.00 0.000005 0.000026
720.00 0.000004 0.000025
730.00 0.000004 0.000023
740.00 0.000004 0.000022
750.00 0.000004 0.000021
760.00 0.000003 0.000020
770.00 0.000003 0.000019
780.00 0.000003 0.000018
790.00 0.000003 0.000017
800.00 0.000003 0.000017
810.00 0.000002 0.000016
820.00 0.000002 0.000015
830.00 0.000002 0.000015
840.00 0.000002 0.000014
850.00 0.000002 0.000014
860.00 0.000002 0.000013
870.00 0.000002 0.000013
880.00 0.000002 0.000013
890.00 0.000002 0.000012
900.00 0.000002 0.000012
910.00 0.000001 0.000011
920.00 0.000001 0.000011
930.00 0.000001 0.000011
940.00 0.000001 0.000011
950.00 0.000001 0.000010
960.00 0.000001 0.000010
970.00 0.000001 0.000010
980.00 0.000001 0.000010
990.00 0.000001 0.000009
1000.00 0.000001 0.000009
1010.00 0.000001 0.000009
1020.00 0.000001 0.000009
1030.00 0.000001 0.000009
1040.00 0.000001 0.000008
1050.00 0.000001 0.000008
1060.00 0.000001 0.000008
1070.00 0.000001 0.000008
1080.00 0.000001 0.000008
1090.00 0.000001 0.000008
1100.00 0.000001 0.000007
1110.00 0.000001 0.000007
1120.00 0.000001 0.000007
1130.00 0.000001 0.000007
1140.00 0.000001 0.000007
1150.00 0.000001 0.000007
1160.00 0.000001 0.000007
1170.00 0.000000 0.000007
1180.00 0.000000 0.000007
1190.00 0.000000 0.000006
1200.00 0.000000 0.000006
