Mie Scattering and Absorption for 100Au_0Ag 30nm Sphere
Wavelength(nm)  Scattering_Cross(µm²)  Absorption_Cross(µm²)
270.00 0.000036 0.000636
280.00 0.000030 0.000580
290.00 0.000026 0.000531
300.00 0.000022 0.000489
310.00 0.000019 0.000454
320.00 0.000016 0.000425
330.00 0.000014 0.000404
340.00 0.000012 0.000389
350.00 0.000011 0.000381
360.00 0.000010 0.000378
370.00 0.000009 0.000375
380.00 0.000008 0.000369
390.00 0.000007 0.000362
400.00 0.000007 0.000353
410.00 0.000006 0.000343
420.00 0.000006 0.000334
430.00 0.000005 0.000328
440.00 0.000005 0.000325
450.00 0.000004 0.000329
460.00 0.000004 0.000343
470.00 0.000004 0.000371
480.00 0.000004 0.000418
490.00 0.000005 0.000484
500.00 0.000006 0.000544
510.00 0.000007 0.000537
520.00 0.000007 0.000428
530.00 0.000007 0.000288
540.00 0.000006 0.000184
550.00 0.000005 0.000119
560.00 0.000004 0.000081
570.00 0.000003 0.000057
580.00 0.000003 0.000042
590.00 0.000003 0.000032
600.00 0.000002 0.000025
610.00 0.000002 0.000020
620.00 0.000002 0.000016
630.00 0.000002 0.000014
640.00 0.000001 0.000012
650.00 0.000001 0.000010
660.00 0.000001 0.000009
670.00 0.000001 0.000008
680.00 0.000001 0.000007
690.00 0.000001 0.000006
700.00 0.000001 0.000005
710.00 0.000001 0.000005
720.00 0.000001 0.000004
730.00 0.000001 0.000004
740.00 0.000001 0.000004
750.00 0.000001 0.000003
760.00 0.000001 0.000003
770.00 0.000001 0.000003
780.00 0.000001 0.000003
790.00 0.000000 0.000003
800.00 0.000000 0.000002
810.00 0.000000 0.000002
820.00 0.000000 0.000002
830.00 0.000000 0.000002
840.00 0.000000 0.000002
850.00 0.000000 0.000002
860.00 0.000000 0.000002
870.00 0.000000 0.000002
880.00 0.000000 0.000002
890.00 0.000000 0.000002
900.00 0.000000 0.000001
910.00 0.000000 0.000001
920.00 0.000000 0.000001
930.00 0.000000 0.000001
940.00 0.000000 0.000001
950.00 0.000000 0.000001
960.00 0.000000 0.000001
970.00 0.000000 0.000001
980.00 0.000000 0.000001
990.00 0.000000 0.000001
1000.00 0.000000 0.000001
1010.00 0.000000 0.000001
1020.00 0.000000 0.000001
1030.00 0.000000 0.000001
1040.00 0.000000 0.000001
1050.00 0.000000 0.000001
1060.00 0.000000 0.000001
1070.00 0.000000 0.000001
1080.00 0.000000 0.000001
1090.00 0.000000 0.000001
1100.00 0.000000 0.000001
1110.00 0.000000 0.000001
1120.00 0.000000 0.000001
1130.00 0.000000 0.000001
1140.00 0.000000 0.000001
1150.00 0.000000 0.000001
1160.00 0.000000 0.000001
1170.00 0.000000 0.000001
1180.00 0.000000 0.000001
1190.00 0.000000 0.000001
1200.00 0.000000 0.000001
